"id","date","day_of_week","total_applications","created_at"
221,"2025-02-24","Monday",449,"2025-03-16 16:09:34.860457"
222,"2025-02-25","Tuesday",650,"2025-03-16 16:10:14.51771"
223,"2025-02-26","Wednesday",593,"2025-03-16 16:12:30.796556"
1,"2025-02-27","Thursday",628,"2025-03-09 15:56:01.675797"
2,"2025-02-28","Friday",616,"2025-03-10 02:34:17.363494"
3,"2025-03-01","Saturday",146,"2025-03-11 02:34:18.965847"
4,"2025-03-02","Sunday",82,"2025-03-12 05:38:05.489265"
132,"2025-03-03","Monday",515,"2025-03-12 18:37:03.085969"
133,"2025-03-04","Tuesday",487,"2025-03-13 18:37:29.219138"
134,"2025-03-05","Wednesday",626,"2025-03-14 18:37:02.75235"
135,"2025-03-06","Thursday",556,"2025-03-15 18:37:02.757604"
136,"2025-03-07","Friday",413,"2025-03-16 18:37:02.738473"
137,"2025-03-08","Saturday",137,"2025-03-16 18:37:02.738473"
138,"2025-03-09","Sunday",109,"2025-03-16 18:37:02.738473"
139,"2025-03-10","Monday",492,"2025-03-16 18:37:02.738473"
140,"2025-03-11","Tuesday",486,"2025-03-16 18:37:02.738473"
190,"2025-03-12","Wednesday",525,"2025-03-16 18:37:02.738473"
200,"2025-03-13","Thursday",508,"2025-03-16 18:37:02.738473"
210,"2025-03-14","Friday",499,"2025-03-16 18:37:02.738473"
220,"2025-03-15","Saturday",149,"2025-03-16 18:37:02.738473"
233,"2025-03-16","Sunday",52,"2025-03-16 18:37:02.738473"
