"id","month","year","status","count","daily_change","is_active","created_at"
1,"February",2025,"ANALYST REVIEW",6853,0,False,"2025-03-16 18:37:02.738473"
2,"February",2025,"SUPERVISED RECRUITMENT",6,0,False,"2025-03-16 18:37:02.738473"
3,"February",2025,"WITHDRAWN",102,0,False,"2025-03-16 18:37:02.738473"
24,"July",2024,"SUPERVISED RECRUITMENT",8,0,False,"2025-03-16 18:37:02.738473"
25,"July",2024,"WITHDRAWN",405,0,False,"2025-03-16 18:37:02.738473"
26,"June",2024,"ANALYST REVIEW",13691,0,False,"2025-03-16 18:37:02.738473"
27,"June",2024,"CERTIFIED",3,0,False,"2025-03-16 18:37:02.738473"
28,"June",2024,"SUPERVISED RECRUITMENT",2,0,False,"2025-03-16 18:37:02.738473"
29,"June",2024,"WITHDRAWN",503,0,False,"2025-03-16 18:37:02.738473"
30,"May",2024,"ANALYST REVIEW",12714,0,False,"2025-03-16 18:37:02.738473"
31,"May",2024,"WITHDRAWN",493,0,False,"2025-03-16 18:37:02.738473"
32,"April",2024,"ANALYST REVIEW",10626,0,False,"2025-03-16 18:37:02.738473"
33,"April",2024,"WITHDRAWN",398,0,False,"2025-03-16 18:37:02.738473"
34,"March",2024,"ANALYST REVIEW",10150,0,False,"2025-03-16 18:37:02.738473"
35,"March",2024,"WITHDRAWN",384,0,False,"2025-03-16 18:37:02.738473"
36,"February",2024,"ANALYST REVIEW",11264,0,False,"2025-03-16 18:37:02.738473"
37,"February",2024,"SUPERVISED RECRUITMENT",4,0,False,"2025-03-16 18:37:02.738473"
38,"February",2024,"WITHDRAWN",457,0,False,"2025-03-16 18:37:02.738473"
39,"January",2024,"ANALYST REVIEW",11205,0,False,"2025-03-16 18:37:02.738473"
40,"January",2024,"WITHDRAWN",669,1,False,"2025-03-16 18:37:02.738473"
41,"December",2023,"ANALYST REVIEW",13864,0,False,"2025-03-16 18:37:02.738473"
42,"December",2023,"SUPERVISED RECRUITMENT",1,0,False,"2025-03-16 18:37:02.738473"
43,"December",2023,"WITHDRAWN",680,0,False,"2025-03-16 18:37:02.738473"
44,"November",2023,"ANALYST REVIEW",12278,0,True,"2025-03-16 18:37:02.738473"
1456,"November",2023,"DENIED",9,0,True,"2025-03-16 18:37:02.738473"
1742,"November",2023,"RFI ISSUED",8,0,True,"2025-03-16 18:37:02.738473"
78,"July",2023,"ANALYST REVIEW",1,0,False,"2025-03-16 18:37:02.738473"
79,"July",2023,"BALCA APPEALS",13,0,False,"2025-03-16 18:37:02.738473"
80,"July",2023,"CERTIFIED",10008,0,False,"2025-03-16 18:37:02.738473"
81,"July",2023,"DENIED",139,0,False,"2025-03-16 18:37:02.738473"
82,"July",2023,"NOAD ISSUED",34,0,False,"2025-03-16 18:37:02.738473"
83,"July",2023,"RECONSIDERATION APPEALS",9,0,False,"2025-03-16 18:37:02.738473"
84,"July",2023,"REQUEST FOR REVIEW",5,0,False,"2025-03-16 18:37:02.738473"
85,"July",2023,"RFI ISSUED",8,0,False,"2025-03-16 18:37:02.738473"
86,"July",2023,"SUPERVISED RECRUITMENT",2,0,False,"2025-03-16 18:37:02.738473"
87,"July",2023,"WITHDRAWN",795,0,False,"2025-03-16 18:37:02.738473"
88,"June",2023,"BALCA APPEALS",20,0,False,"2025-03-16 18:37:02.738473"
89,"June",2023,"CERTIFIED",7631,0,False,"2025-03-16 18:37:02.738473"
90,"June",2023,"DENIED",170,1,False,"2025-03-16 18:37:02.738473"
91,"June",2023,"NOAD ISSUED",37,0,False,"2025-03-16 18:37:02.738473"
92,"June",2023,"RECONSIDERATION APPEALS",2,0,False,"2025-03-16 18:37:02.738473"
93,"June",2023,"SUPERVISED RECRUITMENT",3,0,False,"2025-03-16 18:37:02.738473"
94,"June",2023,"WITHDRAWN",982,0,False,"2025-03-16 18:37:02.738473"
