"id","record_date","total_applications","pending_applications","pending_percentage","changes_today","completed_today","created_at"
1,"2025-03-09",253967,181346,"71.41",88,84,"2025-03-09 21:05:34.946697"
6,"2025-03-10",253967,181319,"71.39",115,111,"2025-03-10 02:11:16.837204"
7,"2025-02-28",253967,181319,"71.39",115,111,"2025-03-10 02:34:17.363494"
8,"2025-03-01",253967,180829,"71.20",531,507,"2025-03-11 02:34:18.965847"
9,"2025-03-02",253967,180317,"71.00",540,512,"2025-03-12 04:02:34.805123"
17,"2025-03-11",253967,180317,"71.00",540,512,"2025-03-12 05:38:05.489265"
19,"2025-03-12",253967,179963,"70.86",373,357,"2025-03-12 18:37:03.085969"
20,"2025-03-13",253967,179415,"70.65",370,344,"2025-03-13 18:37:29.219138"
21,"2025-03-14",253967,179194,"70.56",91,64,"2025-03-14 18:37:02.75235"
22,"2025-03-15",253967,178651,"70.34",103,92,"2025-03-15 18:37:02.757604"
23,"2025-03-16",253967,178535,"70.30",55,55,"2025-03-16 18:37:02.738473"
